title,content,link
UN urges Afghan Taliban not to block women’s medical training,"The UN mission to Afghanistan on Wednesday urged the Taliban government to reconsider a reported plan to ban women from attending medical training institutes, in the latest move to restrict women’s education. A health ministry source and managers from private medical institutes, which offer training in subjects such as midwifery and nursing, said on Tuesday the public health ministry had issued a directive from the Taliban supreme leader to suspend women’s attendance. There has been no official Taliban government confirmation of the ban, but institute employees said they had been given 10 days to hold final exams before women would be barred. The United Nations Assistance Mission in Afghanistan said it was ‘extremely concerned’ by the reports and urged the Taliban government to ‘reconsider implementing’ the rule. Meanwhile, an Afghan TV station has been shut down after its office was used for dubbing ‘vulgar’ programmes for banned media, the Taliban morality ministry said on Thursday, with the channel’s employees saying six people have been detained. The ministry for the propagation of virtue and prevention of vice accused people working within Arezo TV of providing content to Afghan media based outside the country, which have been heavily restricted and criticised by the Taliban authorities. ‘Some people were using the name of Arezo TV to carry out actions that were contrary to Islamic values and national traditions,’ the PVPV said in a statement announcing the station’s closure. ‘It became clear that some people had used the name and building of Arezo TV as well as their position in the media outlet to pay temporary workers to dub vulgar serials and programmes that were against Islamic and Afghan principles and traditions with the financial support of exiled media outlets outside the country,’ it said. Two employees with Arezo said that six people were arrested when the office was raided. Around eight Taliban officials — including one who was armed — entered the Kabul office mid-morning on Wednesday and separated men from women before taking their phones and information, one source said. ‘The office is sealed, and they asked us to wait for further orders — either the office will be reopened again or shut down,’ he said. A second Arezo TV employee said the six detained employees were still in custody and under investigation by PVPV. As of Thursday afternoon, Arezo TV was not broadcasting in Kabul, AFP journalists said. The Afghanistan Journalists Centre, a press freedom group, said Taliban intelligence officers and morality police had raided the office, citing an employee saying the staff were ‘mistreated’ and that their phones and computers were confiscated. The channel, founded in 2006 in northern Mazar-i-Sharif city, produces news as well as wildlife documentaries and ‘Islamic series’ dubbed from Turkish, with a staff of some 70 people in Kabul, AFJC said.",https://www.newagebd.net/post/south-asia/252115/un-urges-afghan-taliban-not-to-block-womens-medical-training
BNP submits recommendations to police reform commission,"BNP on Thursday submitted its recommendations to the police administration reform commission. BNP chairperson’s advisory council member SM Zahurul Islam handed over the party’s suggestions to police reform commission chairman Safar Raz Hossain at the International Mother Language Institute in the capital’s Segunbagicha area. The police reform commission, formed by the interim government, is supposed to submit its reform report to chief adviser professor Muhammad Yunus by December 31.",https://www.newagebd.net/post/politics/252114/bnp-submits-recommendations-to-police-reform-commission
Peacekeeping force should be sent to India: Jahangir,"Home adviser lieutenant general (retired) Jahangir Alam Chowdhury on Thursday suggested that peacekeeping forces be sent to India instead of Bangladesh. He was talking to journalists after the inauguration of International Volunteer Day 2024 at the fire service and civil defence multipurpose training ground in Purbachal, Narayanganj. The remarks came after journalists drew his attention to a recent statement by West Bengal chief minister Mamata Banerjee that United Nations peacekeeping forces be sent to Bangladesh. Mamata’s statement came amid tension between Dhaka and New Delhi on the issue of minority situation in Bangladesh. Responding to questions regarding this, the home adviser said that peacekeeping forces should be sent to India, not to Bangladesh. He also highlighted that the recent call for national unity in Bangladesh had received a positive response, which he believed would help counter conspiracies and maintain order in the country. The adviser dismissed concerns about tensions at the border, saying, ‘There is no tension along the border. However, the propaganda India is spreading about Bangladesh will be collectively addressed by everyone.’",https://www.newagebd.net/post/country/252113/peacekeeping-force-should-be-sent-to-india-jahangir
Protests against mission attack continue,"Protests over the attack on the Bangladesh assistant high commission in India’s Agartala rolled into the fourth consecutive day on Thursday in Dhaka city and some other places in the country. Different political parties and cultural bodies staged protests on the day demanding a ban on the International Society for Krishna Consciousness, ISKCON, the boycott of Indian products and others. Amid the growing tension over the two neighboring countries, Border Guard Bangladesh has declared a high alert at several points along the Benapole border, including Dhannokhola, Raghunathpur, Sadipur, Ghiba, Putkhali, Bahadurpur,  Doulatpur, Boro Achra, and Gatipara, to counter any potential threat. Bangladesh mission in Agartala came under attack by a group of Indians on Monday afternoon during their protests demanding the release of Hindu community leader in Bangladesh Chinmoy Krishna Das, now in jail in a sedition case. Bangladesh Nationalist Party senior joint secretary general Ruhul Kabir Rizvy slammed the attack and desecration of the Bangladesh national flag. He was addressing a rally organised under the banner of Deshi Ponno Kine Hou Dhonno in front of the National Press Club. ‘We will boycott their [Indian] products as those people don’t respect our independence and tore our national flag at Agartala,’ said Rizvy, claiming that Bangladesh was not dependent on India. He said that people of Bangladesh would not disrespect Indian flag and its dignity and sovereignty although Indian people disrespected Bangladesh’s national flag. Rizvy called upon the people to remain united to prevent Indian aggression in Bangladesh. Bangladesh Supreme Party organised a rally and procession in front of the Press Club protesting at the attack on Bangladesh mission, desecration of the national flag and spreading propaganda. BSP secretary general Abdul Aziz Sarkar warned the Narendra Modi-led government to stay away from Bangladesh aggression. Aziz said that Bangladeshi people did not like extremism as the people from all religions, including Muslims, Hindus, Buddhists and Christians have been living with strong unity and harmony for years. He said that although India had supported Bangladesh during the country’s War of Independence, Bangladeshi people would not allow India to carry out any aggression in the country. BSP also held procession along the nearby roads of Paltan and Segunbagicha areas. Jatiya Kabita Parishad also held a protest rally in front of the National Press Club condemning the attack on Bangladesh mission in Agartala. The attack on Bangladesh mission in Agartala is a violation of international treaty, the Vienna Convention on Diplomatic Relations, of 1961 and an attack on sovereignty of Bangladesh as well, speakers said. Jatiya Kabita Parishad convener poet Mohon Raihan said that the attack on Bangladesh mission and desecration of the national flag was a provocation of Modi-led government. The Parishad member secretary Rezauddin Stalin said that Bangladeshi people would fight for the country’s sovereignty. New Age correspondent in Feni reported that National Ulama Mashaikh Aimma Parishad held a mass rally and brought out a protest procession at Parshuram upazila in the district protesting at the attack on Bangladesh mission in Agartala in the afternoon. The protesters also demanded a ban on ISKCON and ensure trial into the lawyer Saiful Islam Alif’s murder. Different volunteer groups and other people brought out a torch procession and held a protest rally over abusive comment on Bangladeshi people at Bilonia of Feni along Indian border. The rally was held at the Central Shaheed Minar in Feni town and brought out a torch procession and marched several areas in the town.",https://www.newagebd.net/post/politics/252112/protests-against-mission-attack-continue
Lack of awareness to cost farmers this season,"Rajshahi farmers are set to face financial losses this year as they are applying three times more fertiliser than what is required due to lack of government initiatives to make people aware of the proper application of fertilisers. The agricultural officers say that they have been holding group and yard meetings with farmers and have been conducting campaigns to make farmers aware so that the latter do not apply fertiliser in excess of permitted levels. Farmers, however, said that the government’s initiatives to make them aware of the proper application of fertiliser and pesticides to their lands were inadequate as most of them had not been informed about it. ‘We do not actually know when and how much fertiliser we need to apply to our farmland,’ said Habibur Rahman, a farmer from Tanore upazila in Rajshahi. He said that they were applying two sacks (100 kilogrammes) of muriate of potash, generally known as MOP, one sack (50 kg) of di-ammonium phosphate, generally known as DAP, and one sack of triple superphosphate, generally known as TSP, to per bigha of land before planting potato seeds. ‘We will also add a little quantity of fertiliser again when the potato leaves will grow,’ he added. Another farmer Mostakin Islam of the same upazila told New Age that they were applying two sacks of MOP, one and a half sacks of DAP, and a half sack of TSP to per bigha of land before planting potato seeds. Asked about whether anyone from the agricultural department contacted or instructed them about how much fertiliser they needed to apply to their land for potato cultivation, he answered negatively. Khorshed Alam, a farmer of Baghmara upazila in Rajshahi, told New Age that farmers in their area were in competition over applying fertilisers to their potato fields with the intention of getting more yield. The agricultural officials, however, said that recommended amounts of MOP, TSP or DAP were 24 kg and 20 kg respectively for per bigha of land. In the 2024-25 season, the agricultural officials have set a target of producing about 98.55 lakh tonnes of potato from 3.65 lakh hectres of land in sixteen districts of Rajshahi and Rangpur divisions. ‘If a farmer applies TSP to their potato fields, then they do not need to apply DAP as it is genetically phosphate,’ said Rajshahi DAE office sub-assistant agriculture officer. Kawser Ali, a professor of crop science and technology at Rajshahi University, however, told New Age that about 20 to 25 kg of MOP and TSP or DAP each was enough to apply for cultivating potato per bigha of land. Rajshahi DAE deputy director Mst Umme Salma said, ‘We are conducting campaigns to ensure that fertilisers are not being applied to the land in excess of the permitted levels.’",https://www.newagebd.net/post/country/252111/lack-of-awareness-to-cost-farmers-this-season
Atikur Rahman’s 1st death anniv observed,"Politicians, academics and professionals at a commemorative meeting in Dhaka on Thursday said that people should follow the ideals of the late Atiqur Rahman Salu for getting justified water sharing of the common revers from India. International Farakka Committee organised the commemoration meeting to mark the first anniversary of death of former International Farakka Committee chairman Atiqur Rahman Salu, who died in the United States on December 5, at the National Press Club. Bangladesh Nationalist Party standing committee member Abdul Mayeen Khan said that Atiqur Rahman Salu was a true follower of Maulana Abdul Hamid Khan Bhashani who formed the IFC for getting justified water sharing of the common revers between Bangladesh and India. He proposed that we could hold another long march towards Indian border to press demand of justified water sharing from India like the long march held by Maulana Bhashani in 1974. Chaired by chairman of the IFC Tipu Sultan, Jatiya Party faction chairman Mostafa Jamal Haider, the IFC Bangladesh chapter chairman Jasim Uddin Ahmed, politicians Saiful Huq, Zahir Uddin Swapan, Bangladesh coordinator of the IFC Mostafa Kamal Majumder, among others, spoke at the meeting.",https://www.newagebd.net/post/country/252110/atikur-rahmans-1st-death-anniv-observed
BUP pays tribute to July uprising martyrs,"The Cultural Forum of Bangladesh University of Professionals organised a commemorative session and cultural event at the BUP Swadhinata Auditorium in Dhaka on Thursday. The event was held to honour the martyrs and the injured of the student-led mass uprising and reflect on the events of the uprising, said a press release. During the session, the memories of the July-August uprising, the contributions of the martyrs to this movement and their significance in the nation’s history were highlighted. Vice-chancellor of the BUP, Major General Md Mahbub-ul Alam, attended the event as chief guest. The event was also attended by BUP pro-VC, its high officials, students, faculty members, officers and staff of BUP.",https://www.newagebd.net/post/campus-bites/252109/bup-pays-tribute-to-july-uprising-martyrs
Bangladesh envoy in Athens hosts educational session,"Bangladesh’s ambassador to Greece Nahida Rahman Shumona hosted an educational session for students of Filothei Preliminary School of Athens marking International Day of Persons with Disabilities on December 3. The day is meant to promote rights and well-being of persons with disabilities in all aspects of society and development. The session provided young students with a chance to learn about the daily experiences and obstacles that persons with disabilities face. Nahida Rahman, at the event at Filothei Preliminary School, has talked about the importance of empathy, understanding and support for creating an inclusive environment for everyone, regardless of their abilities, said a release. School psychologist Dr Eleftheria Koumeki, invited to lead an interactive discussion, shared her expertise and insights on how to foster inclusivity and support PWDs in communities. She emphasised the significance of recognizing the strengths and potential of individuals with disabilities and the need for inclusive education and social practices.",https://www.newagebd.net/post/foreign-affairs/252108/bangladesh-envoy-in-athens-hosts-educational-session
Tk 5 lakh reward for Jr hockey team,"The Bangladesh Hockey Federation on Thursday awarded Tk five lakh to the Bangladesh Under-21 hockey team in recognition of their achievement of qualifying for next year’s FIH Men’s Junior World Cup at a reception ceremony upon their return from Oman on Thursday morning. Bangladesh finished fifth in the Men’s Junior Asia Cup 2024 in Muscat, with three victories, two draws, and one loss, paving the path for their first Junior World Cup appearance. BHF president Air Chief Marshal Hasan Mahmood Khan welcomed the team members with garlands before handing over the cheque to the team, comprised of 18 players and three officials, at the BAF Falcon Hall in the city. ‘Our financial condition is not in ideal shape, so we could only allocate Tk five lakh as a reward for the team,’ said Mahmood during the reception ceremony. Mahmood promised further support to the team that accomplished what no other Bangladesh hockey team had ever done before. ‘This is a significant accomplishment. By qualifying for the Junior World Cup, you have created an opportunity to aim for the Senior World Cup in the future. We will provide our best efforts, irrespective of challenges, as you will face bigger hurdles in the coming days,’ said Mahmood. Earlier, Bangladesh confirmed their place in the Junior World Cup with a 7-2 win over Thailand in a place-deciding (fifth-eighth) match on December 3, a day before they defeated China 6-3 in the fifth-placed decider of the 10-team tournament.",https://www.newagebd.net/post/hockey/252107/tk-5-lakh-reward-for-jr-hockey-team
Mixed year for Tigers in WTC,"As the battle for the final of the ICC World Test Championship is heating up with the ongoing series between Australia and India, Sri Lanka and South Africa, and England and New Zealand, Bangladesh confirmed their highest-ever finish on the table after registering a memorable win against the West Indies in the recently concluded second Test at Sabina Park in Kingston, Jamaica. The Tigers ended the two-match series 1-1 after they beat the hosts by 101 runs on Tuesday after losing the first one in Antigua. This was the last series for Bangladesh in this cycle. With a point percentage of 31.25, Bangladesh are now in eighth position, only above the Caribbean side in the nine-team competition. Bangladesh can even finish in seventh if Pakistan fail to win a single match against South Africa in their forthcoming series. In the previous two cycles of the WTC, Bangladesh finished at the bottom with one and zero wins, respectively. This time Bangladesh won four matches—two against Pakistan and one each against New Zealand and the West Indies. Three of those four wins came away from home, and that makes 2024 Bangladesh’s most successful calendar year in terms of away wins. Two of those came against Pakistan when Bangladesh cleanswept them. But this cycle will remain as one where Bangladesh suffered some crushing defeats. On top of that list would be the second Test against India in Kanpur when the Tigers lost in a little over five sessions. Bangladesh began the new cycle with a historic win over New Zealand in Sylhet in December last year. They also missed a golden opportunity in the second Test when the Kiwis were 69-6 at one stage in the fourth innings chasing 137. Bangladesh failed to win a single of the four matches that they played against Sri Lanka and South Africa at home. The Tigers had only themselves to blame for their series loss against the Proteas, as South Africa had been on a 10-year losing streak in the sub-continent with nine straight losses. The South African team that visited Bangladesh was also a weakened one this time, but the batters failed miserably for Bangladesh, as it has been the case for them in this cycle of WTC. The lack of big innings and partnerships from up in the order cost Bangladesh badly. There were only four hundreds for Bangladesh batters in 12 matches, whereas only five partnerships reached the 100-mark. Those were also mostly from below the order—three at the seventh wicket and one each at the sixth and ninth wickets. Shadman Islam has been the most consistent opener among the three who batted in the position but didn’t have any hundred. The dip in form of captain Najmul Hossain Shanto didn’t help either. He had an excellent 2023 with an average of 55, but this time around he only managed to average 21.13. Shanto even wanted to quit the captaincy, and that created a strong murmur during the South Africa series. But the bowling has been the biggest positive point for Bangladesh with a stable pace attack. The emergence of pace sensation Nahid Rana set a different vibe, and with Shakib Al Hasan’s career all but over, Taijul Islam started to take more responsibility in the spin attack.",https://www.newagebd.net/post/cricket/252106/mixed-year-for-tigers-in-wtc
